,Video Title,Video ID,View Count,Duration,Description,Channel Title,Published Date,Trending Until
159,Managing the risks of Large Language Models,GXtDbKKObbQ,41,16:45,Learn how to mitigate and manage the risks of Large Language Models with AI expert Dr Lachlan McCalman from Gradient Institute.,CSIRO's Data61,2023-08-22T03:23:29Z,2023-09-06T11:45:19Z
160,What are Large Language Models?,x7EWP_Jc8G0,59,5:41,Learn what Large Language Models are from AI expert and Gradient Institute CEO Bill Simpson-Young.,CSIRO's Data61,2023-08-22T03:19:16Z,2023-09-06T11:45:19Z
161,How Large Language Models work,E_mhX8napII,109,7:48,How do Large Language Models work? Learn from AI expert Dr Lachlan McCalman of Gradient Institute.,CSIRO's Data61,2023-08-22T03:15:36Z,2023-09-06T11:45:19Z
162,Generative AI | Introduction to WatsonX | large language model (LLM),AvK3yWMRjCE,38,2:16,"Watsonx is our enterprise-ready AI and data platform designed to multiply the impact of AI across your business. The platform comprises three powerful products: the watsonx.ai studio for new foundation models, generative AI and machine learning; the watsonx.data fit-for-purpose data store, built on an open lakehouse architecture; and the watsonx.governance toolkit, to accelerate AI workflows that are built with responsibility, transparency and explainability.

Watsonx.ai
Watsonx.data
Watsonx.governance


Generative AI
Artificial Intelligence
Machine Learning
Neural Networks
Deep Learning
Natural Language Generation
Text Generation
Image Generation
Creativity and AI
Creative Algorithms
AI-Generated Content
GANs (Generative Adversarial Networks)
Creative Writing AI
Music Generation
Content Automation
Data-driven Creativity
AI Art
AI Composer
Automated Design
Video Generation
Style Transfer
Autonomous Creativity
Algorithmic Art
AI Storytelling
Virtual Artists",Tech Talk,2023-08-22T03:02:00Z,2023-09-06T11:45:19Z
163,Large Language Models and Jobs,wOAtmI3V-pE,133,44:58,"How will large language models affect how people work, how productive they are, and what kinds of jobs they have? 

These questions have been in the air over the past year, but solid data upon which to base an analysis has been scarce.  In a recent talk at our machine learning and finance reading group, I explored these questions by drawing on two sources: first, MIT economist David Autor's analysis of the labor-market impact of past technological changes;  second, a recent case study of the introduction of a language-mode-based tool in a workplace (Erik Brynjolfsson, Danielle Li, and Lindsey R. Raymond. ""Generative AI at work"". National Bureau of Economics Research Working Paper). While definitive predictions are impossible at this early stage, I hope my discussion provides some useful insights.  I've re-recorded the talk here.

Chapters:
0:00 Introduction
4:11 Autor's analysis of the PC revolution
16:05 LM tool for customer support agents
40:18 Concluding discussion

Reading group home page: https://github.com/paiforsyth/ML-Finance_Group/blob/master/README.md

Main references:
David Autor. ""Polanyi’s paradox and the shape of employment growth"". National Bureau of Economic Research, (2014).

Brynjolfsson, Erik, Danielle Li, and Lindsey R. Raymond. ""Generative AI at work"".  National Bureau of Economic Research,  (2023).


Additional references:
Akari Asai, Sewon Min, Zexuan Zhong, and Danqi Chen. 2023. ""Retrieval-based Language Models and Applications"". In Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 6: Tutorial Abstracts), pages 41–46, Toronto, Canada. Association for Computational Linguistics.

Autor, David H  and David Dorn. “The growth of low-skill service jobs and the polarization of the US labor market”. In: American economic review 103.5 (2013), pp. 1553–1597.

Autor, David H, Frank Levy, and Richard J Murnane. “The skill content of recent technological change: An empirical exploration”. In: The Quarterly journal ofeconomics 118.4 (2003), pp. 1279–1333.

Autor, David H. ""Polanyi’s paradox and the shape of employment growth"". Tech. rep. National Bureau of Economic Research, 2014

Autor, David H. “Why are there still so many jobs? The history and future of workplace automation”. In: Journal of economic perspectives 29.3 (2015),pp. 3–30.

Autor, David, et al. ""New Frontiers: The Origins and Content of New Work, 1940–2018"". No. w30389. National Bureau of Economic Research, (2022).

Briggs, Joseph et al.  ""The Potentially Large Effects of Artificial Intelligence on Economic Growth."" Goldman Sachs (2023).

Brynjolfsson, Erik, Danielle Li, and Lindsey R. Raymond. ""Generative AI at work"". No. w31161. National Bureau of Economic Research, (2023).

Chui, Michael  et al. “The economic potential of generative AI”. In: McKinsey Reports (2023)

Eloundou, Tyna, et al. ""Gpts are gpts: An early look at the labor market impact potential of large language models."" arXiv preprint arXiv:2303.10130 (2023).

LeCun, Yann. ""A path towards autonomous machine intelligence version 0.9. 2, 2022-06-27."" Open Review 62 (2022).

Mialon, Grégoire, et al. ""Augmented language models: a survey."" arXiv preprint arXiv:2302.07842 (2023).

Miller, Douglas L. ""An Introductory Guide to Event Study Models."" Journal of Economic Perspectives 37.2 (2023): 203-230.

Neelakantan, Arvind, et al. ""Text and code embeddings by contrastive pre-training."" arXiv preprint arXiv:2201.10005 (2022).

Nordhaus, William D. ""Two centuries of productivity growth in computing."" The Journal of Economic History 67.1 (2007): 128-159.

Noy, Shakked, and Whitney Zhang. ""Experimental evidence on the productivity effects of generative artificial intelligence."" Available at SSRN 4375283 (2023).

Ouyang, Long, et al. ""Training language models to follow instructions with human feedback."" Advances in Neural Information Processing Systems 35 (2022): 27730-27744.

Peng, Sida, et al. ""The impact of ai on developer productivity: Evidence from github copilot."" arXiv preprint arXiv:2302.06590 (2023).

Reimers, Nils, and Iryna Gurevych. ""The curse of dense low-dimensional information retrieval for large index sizes."" arXiv preprint arXiv:2012.14210 (2020).

Schick, Timo, et al. ""Toolformer: Language models can teach themselves to use tools."" arXiv preprint arXiv:2302.04761 (2023).

Tabarrok, Alex. ""William Baumol and the Cost Disease."" Research in the History of Economic Thought and Methodology: Including a Symposium on the Work of William Baumol. (2022).",Derivative Report,2023-08-21T22:44:30Z,2023-09-06T11:45:19Z
164,Exploring the Potential of Large Language Models as 4th Gen Programming Language Compilers,J5OoMLmUMe4,127,2:32,"The HackerNews post discusses the concept of large language models (LLMs) and their potential as compilers for the 4th generation of programming languages. However, some commenters express frustration with the recycling of version numbers and the lack of historical knowledge in the field of computer science. Others debate the usefulness of LLMs in generating code and the potential future of programming languages. Overall, the discussion revolves around the role of LLMs in programming and the importance of understanding computing history.

🔗 https://drops.dagstuhl.de/opus/volltexte/2023/18524/pdf/OASIcs-SLATE-2023-10.pdf

#AI #AI #LLM #Language Model",AI Insight News,2023-08-21T22:12:01Z,2023-09-06T11:45:19Z
165,ChatHaruhi: Reviving Anime Character in Reality via Large Language Model.,ZdTynwUFpYI,42,1:3,"#blacksstopkillingblackschallenge_360 #leadership #futureofautomation 

Role-playing chatbots built on large language models have drawn interest, but better techniques are needed to enable mimicking specific fictional characters. We propose an algorithm that controls language models via an improved prompt and memories of the character extracted from scripts. We construct ChatHaruhi, a dataset covering 32 Chinese / English TV / anime characters with over 54k simulated dialogues. Both automatic and human evaluations show our approach improves role-playing ability over baselines. Code and data are available at this https URL .",Bumlife2Bomblife Management,2023-08-21T21:25:53Z,2023-09-06T11:45:19Z
166,Executive Briefing Course on Generative AI and Large Language Models (LLMs) #generativeai #llm,RZLi3WdgsfM,133,1:39,"Course Link:  https://www.alankargupta.com/courses/Executive-Briefing--Generative-AI-and-LLMs-64cb8cfce4b0a56398994597-64cb8cfce4b0a56398994597

Use Coupon code: GEN50 and avail 50% discount

Unveiling the Future of AI: Gen AI's Impact on Data and Productivity! 🌟 Brace yourself for a journey into the heart of AI marvels, where knowledge meets innovation. Every tap brings you closer to understanding the true essence of Generative AI and Large Language Models (LLMs)",Alankar Gupta,2023-08-21T21:03:15Z,2023-09-06T11:45:19Z
167,"Using ChatGPT, GPT-4, &amp; Large Language Models In the Enterprise",e_vKiJWD_XA,1509,56,"Join us as we explore, learn, and experience the incredible potential that Generative AI, Large Language Models, and secure data integration bring to the forefront of enterprise excellence. Your journey toward a transformative future begins now. RSVP : https://www.royalcyber.com/generative-ai-impact-on-businesses/?refer=SocialMediaYoutube 

Website: https://www.royalcyber.com/
LinkedIn: https://www.linkedin.com/company/royal-cyber-inc- 
Twitter: https://twitter.com/RoyalCyberUSA
Instagram: https://www.instagram.com/royalcyberinc/
Facebook: https://www.facebook.com/RoyalCyber",Royal Cyber Inc,2023-08-21T19:46:44Z,2023-09-06T11:45:19Z
168,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,f0QE_NXVA2k,586,32:54,"The paper introduces Graph of Thoughts (GoT), a framework that enhances prompting capabilities in large language models by modeling information as a graph. GoT offers advantages over existing paradigms and can be extended for new prompting schemes.

00:00 Section: 1 Introduction
04:40 Section: 2 Background & Notation
07:42 Section: 3 The GoT Framework
11:00 Section: Aggregation Transformations
13:13 Section: 4 System Architecture & Extensibility
16:12 Section: 4.5 GoO & GRS
19:46 Section: 5.2 Set Operations
22:17 Section: 5.4 Document Merging
24:50 Section: 7 Evaluation
28:32 Section: 7.3 Discussion on Task Decomposition
31:00 Section: 8.2 Self-Reflection & Self-Evaluation

https://arxiv.org/abs//2308.09687

YouTube: https://www.youtube.com/@ArxivPapers

PODCASTS:
Apple Podcasts: https://podcasts.apple.com/us/podcast/arxiv-papers/id1692476016
Spotify: https://podcasters.spotify.com/pod/show/arxiv-papers",Arxiv Papers,2023-08-21T19:38:23Z,2023-09-06T11:45:19Z
169,Chatgpt &amp; Large Language Model LLMs Exploring the Basics! How to generate Rhymes using ChatGpt?,rQ-tAdkxHnc,332,3:46,"#SaachiTalksConceptsandStories @codeorg 
https://youtu.be/X-AWdfSFCHQ - How Chatbots and Large Language Models Work
DIY Science Projects - Demos, concepts and Models - Playto Summer Science Festival 2023 for kids
https://www.youtube.com/watch?v=P_0SsEXvhjU&list=PLKDaN0En95-vnw2sji4bAKyxXQ6hYvdCL&index=1&t=10s
Rewards & Achievements https://www.youtube.com/watch?v=56E0exQFXYU&list=PLKDaN0En95-sUP_rEgkPG1pxNfksMPPMq
Beginner Coding project ideas:https://www.youtube.com/watch?v=_a87ppqOBm8&list=PLKDaN0En95-sWXYSS6RVxO7CpaY1vxRru
Interactive Worksheets solutions
https://www.youtube.com/watch?v=5ip2_kI8A18
My creative projects ideas:https://www.youtube.com/watch?v=ZzBtuGpKBLk&list=PLKDaN0En95-tthpilOMXM21H47qxlM0jt
Storytime Central, Imagination Station, Laugh and Learn: Engaging Podcast for Curious Minds https://www.youtube.com/watch?v=Wg1G1CD2_Z0&list=PLKDaN0En95-uFqPJpnqTy5MY6vbtALAZD
Shorts playlist:  https://www.youtube.com/watch?v=hd6oJscg9NY&list=PLKDaN0En95-snbXG-pGGVgNuss_p0UUPf
Illusions, Wonders of Science & Maths, Magic Mania!
https://www.youtube.com/watch?v=xFdtV_CeoeU&list=PLKDaN0En95-uZAakkJUO3Q1ah4G8JAqnH&index=1
Python Beginner project ideas:https://www.youtube.com/watch?v=FSqUaREqgpo&list=PLKDaN0En95-uU37RrbUkFY_0t8arVRrEq
Handpicked Topics, Customized Innovative fun & learn practicing ideas for kids.
Let's learn about India - Quizzes, Stories, Essay, Food & a lot more!
https://www.youtube.com/watch?v=bpiZA05RsNk
Subscription Link:
https://www.youtube.com/SaachiTalksConceptsandStories
Rewards & Achievements
https://www.youtube.com/watch?v=56E0exQFXYU&list=PLKDaN0En95-sUP_rEgkPG1pxNfksMPPMq
Science Knowledge, Experiments, learnings, NASA Space Science
https://www.youtube.com/watch?v=cDDBEG0FPB8&list=PLKDaN0En95-tNOgmYAMX8svQcLwupLgag
Coding Projects Playlist
https://www.youtube.com/watch?v=DBP_rvmWPCQ&list=PLKDaN0En95-sWXYSS6RVxO7CpaY1vxRru
Science Knowledge, Experiments, learnings, NASA Space Science
https://www.youtube.com/watch?v=cDDBEG0FPB8&list=PLKDaN0En95-tNOgmYAMX8svQcLwupLgag
Vocabulary Enhancing Kids Activities Ideas
https://www.youtube.com/watch?v=fjD7uwEPzp0&list=PLKDaN0En95-t4UmxvOJXbNW6Iss2gH6y3
Celebrating 100 videos with Fun Shorts 
https://www.youtube.com/watch?v=H-kep6oVgOc&list=PLKDaN0En95-u3CwO522_qHsIVq3Wp1TbG
Hands on coding activity worksheets, daily practice worksheets:
https://www.youtube.com/watch?v=oaxSziTYOVU&list=PLKDaN0En95-tVt93p1grjfw5PgOZPBrkD
Interesting Stories:
https://www.youtube.com/watch?v=ltGT_ON_bgs&list=PLKDaN0En95-tB6axoyjdj0Ay35ST2dAs9
Little Presenter shares Science Concepts & Experiments:
https://www.youtube.com/watch?v=5ISdKZs3e9c&list=PLKDaN0En95-vddwWIIY66_kjlcd-T226U
DIY Worksheets:
https://www.youtube.com/watch?v=yepd6lfxezo&list=PLKDaN0En95-uv-hNJ6ZXiLTvucXPYXGcm
Kids Questions:
https://www.youtube.com/watch?v=9cQ2-_TvMwE&list=PLKDaN0En95-sLfFunlT3aK1qB840th1Vb
Curiosity Bites: 
https://www.youtube.com/watch?v=WWZdkBec9gs&list=PLKDaN0En95-tW-g-P_y7gCRbuL8mUO26A
Shorts:
https://www.youtube.com/watch?v=IWW4AGkg7ME&list=PLKDaN0En95-snbXG-pGGVgNuss_p0UUPf
Knowledge Point:
https://www.youtube.com/watch?v=_vmF694cYDU&list=PLKDaN0En95-uptq4CFXaUKBEZowuTcsdX
Let's Read Together:
https://www.youtube.com/watch?v=K3X6vWkXjAg&list=PLKDaN0En95-vP3VuuEQVAM1xlwePd22iV
Wisdom Words:
https://www.youtube.com/watch?v=xgjEoyGHC7E&list=PLKDaN0En95-uZUKQb-7jfL-8av08LhPzW
Know How:
https://www.youtube.com/watch?v=4KTAy9tfe3A&list=PLKDaN0En95-tsjHlXQ9EZHickYwhM7xnF
Five Words Series:
https://www.youtube.com/watch?v=0sj4aVP4h0k&list=PLKDaN0En95-vVP4eZK50VKn_YaFM9htaN
Puzzles, Books, Games:
https://www.youtube.com/watch?v=Td7qlY5Bzfs&list=PLKDaN0En95-vXTScNb4ELKWNLqGXvq9GX
Colors, Shapes, Numbers:
https://www.youtube.com/watch?v=HpLFoOxGs4o&list=PLKDaN0En95-s8xzmhgfzaGZZdLGPSd4BN",Saachi Talks Concepts and Stories ,2023-08-21T16:05:44Z,2023-09-06T11:45:19Z
170,"Ultimate LLM Guide: From Theory to Practice - Part 2 Introduction - Emergent Abilities, Power of LLM",_rmNp96kNyQ,40,12:12,"This is the second video of a video series about LLMs. I explained the LLMs' characteristics, difference from PLMs and important features, emergent abilities such as in-context learning, instruction tunning and steps-by-steps reasoning. 
Next video will be the last theoretical one which will explain the LLMs family and the transformer architecture. Then, there will be videos about hands-on LLMs(openai library etc.).

Chinchilla paper link: https://arxiv.org/abs/2203.15556

Please share your feedback if you like or dislike the presentation and explanation.

#largelanguagemodels #llm",Emre KOCYIGIT,2023-08-21T14:59:10Z,2023-09-06T11:45:19Z
171,Insights and Tips for Using Large Language Models Part 1,EchSGpLEHlU,26,11:17,"In this video, I share my insights and practical tips for using large language models, specifically focusing on chat GPT. I discuss the differences between the free and paid versions, token usage, and the importance of context in generating accurate and relevant responses. I also demonstrate how to create prompts that yield more interesting and targeted results. Whether you're a medical educator or simply interested in exploring the capabilities of language models, this video will provide valuable information and guidance.

This will be part of series of videos to cover my insights and tips for using LLMs like ChatGPT and others I have been using.",Danish Bhatti,2023-08-21T13:11:41Z,2023-09-06T11:45:19Z
172,FinGPT: Open-Source Financial Large Language Models,kX_7ocfTS8g,2523,26:10,"Join the Hudson and Thames Reading Group: https://hudsonthames.org/reading-group/

Michael Struwig, explored the paper and open-source project, “FinGPT: Open-Source Financial Large Language Models”. It aims to democratize access to high-quality financial data and stimulate innovation in applications like robo-advising and algorithmic trading. Collaboration within the AI4Finance community is encouraged, and the associated code repositories are available for further development. 

The FinGPT code can be found here: https://lnkd.in/dAzjMBB4",Hudson & Thames,2023-08-21T12:35:00Z,2023-09-06T11:45:19Z
173,Large Language Models with Langchain - The Ultimate Guide,IbMtSXTJ0ic,246,53:20,"In this video, we will guide you through the process of building large language models using Langchain. We will cover everything from the basics of Langchain to the advanced techniques that can take your language models to the next level. By the end of this video, you will have all the knowledge you need to create your own powerful language models.

00:00 - Agenda
00:30 - Why Langchain?
02:07 - What is Langchain?
04:52 - How to get started?

Table of Contents:

06:11 - Installation
07:23 - Setup OpenAI API key

Language components
08:05 - LLM and Chat Models in Langchain
12:46   - Prompt Engineering using ChatPromptTemplate in Langchain
22:26    - Output parser
27:21   - Chain [LLMChain and SequentialChain]
37:57   - Memory
45:52 - Build a ChatBot on your own data

Source code: https://bit.ly/langchain-recipes

----------------------------------
Twitter: https://twitter.com/TRJ_0751
LinkedIn: https://www.linkedin.com/in/jaintarun75/
Instagram: https://instagram.com/jaintarun.ai
GitHub: https://github.com/lucifertrj
-----------------------------------

#AI #LLM",AI With Tarun,2023-08-21T11:30:11Z,2023-09-06T11:45:19Z
174,LabTwin l Large Language models l The Lab of the Future is now.,y13NxZT2hPs,30,1:,"With the integration of the new Large Language Models (LLM) capabilities into LabTwin, scientists can effortlessly gain answers to their experimental queries. This advancement enables access to scientific or organizational information and even troubleshooting tips from software.
Welcome to the AI- and Voice-powered Lab of the future. If you’re interested in understanding how LabTwin can enhance efficiency within your organization, feel free to reach out or schedule a demo (labtwin.com/demo).
#labtechnology #labofthefuture #technology #laboratory #scientist #researchanddevelopment #digitaltransformation #digitaladoption #llm
#largelanguagemodels #largelanguagemodel",LabTwin,2023-08-21T11:09:39Z,2023-09-06T11:45:19Z
175,LLMs vs LMs in Prod // Denys Linkov // LLMs in Production Conference Part 2,y1HqPNwBp0U,807,24:44,"// Abstract
What are some of the key differences in using 100M vs 100B parameter models in production? In this talk, Denys from Voiceflow will cover how their MLOps processes have differed between smaller transformer models and LLMs. He'll walk through how the main 4 production models Voiceflow uses differ, and the processes plus product planning behind each one. The talk will cover prompt testing, automated training, real-time inference, and more!

// Bio
Denys is the ML lead at Voiceflow focused on building the ML platform and data science offerings. His focus is on real-time NLP systems that help Voiceflow’s 60+ enterprise customers build better conversational assistants. His role alternates between product management, ML research, and ML platform building. Previously he worked at a large global bank as a senior cloud architect.",MLOps.community,2023-08-21T10:44:48Z,2023-09-06T11:45:19Z
176,Self-Consistency Improves Chain of Thought Reasoning in Language Models,XKY2ThptBWs,221,5:38,https://arxiv.org/abs/2203.11171,Vivek Haldar,2023-08-21T06:05:37Z,2023-09-06T11:45:19Z
177,How To Deploy Large Language Models Into Production,qHWq5WnRUfQ,46,30,"In this tutorial, you will learn how to create an API server to serve your model using Postman. 

Full video link: https://youtu.be/6CRrhxpF8WI

#artificialintelligence #technology #largelanguagemodels #python",ZoumDataScience,2023-08-21T01:54:24Z,2023-09-06T11:45:19Z
178,Introduction to Natural Language Processing (NLP) &amp; Large Language Models (LLM),o1q5qhwz_xg,8,1:15:55,#naturallanguageprocessing #naturallanguagegeneration #nlp #llm #largelanguagemodels #huggingface #chatgpt #gpt4 #bard #palm #bertholdt #openai #google #microsoft #microsoftbing #sentimentanalysis,Galois Insights Limited,2023-08-20T19:35:33Z,2023-09-06T11:45:19Z
179,Large Language Models Meet Copyright,ICd5l4RefmA,68,2:2,"Let's talk about how copyright intersects large language models around training LLMs, outputs of LLMs, and watermarking mechanisms. 
#datascience #machinelearning #largelanguagemodels #copyright

A lot of this material is derived from a brilliant talk by leading copyright scholar Pamela Samuelson 

Large Language Models Meet Copyright Law
https://www.youtube.com/watch?v=MFKV48ikV5E&ab_channel=SimonsInstitute
━━━━━━━━━━━━━━━━━━━━━━━━━
★ Rajistics Social Media » 
● Link Tree: https://linktr.ee/rajistics
● LinkedIn: https://www.linkedin.com/in/rajistics/
━━━━━━━━━━━━━━━━━━━━━━━━━","Rajistics - data science, AI, and machine learning",2023-08-20T19:27:35Z,2023-09-06T11:45:19Z
180,Generative AI Tutorial | Large Language Model (LLM) - Season 1 Episode 2,3c5Vr8Z8o4c,17,12:2,"We are starting an Generative AI tutorial for beginners. This will be the second episode in season 1. In this introduction video we will discuss following topics,

Large Language Model Overview
Large Language Model Key Features
Large Language Model Application

Do you want to learn Generative AI Tutorial course from JanaAI? 

Website: 

https://janaai.com

For More Queries WhatsApp or Call on  :  +91-9339628543",JanaAI,2023-08-20T12:31:22Z,2023-09-06T11:45:19Z
181,"Ethical Considerations in Large Language Models Lessons in Bias, Fairness, and Responsible AI",LS07_w573TY,19,3:15,"THE STUDENT SUCCESS COACH
My name is Peter Alkema and I’m here to help you be successful in your studies, career and life.

😘 DIGITAL MASTERCLASS - https://www.udemy.com/course/digital-disruption-mind-blowing-mastery/?referralCode=382F334153C060EE52D7
🚀 MANAGEMENT SKILLS MASTERCLASS - https://www.udemy.com/course/new-manager-masterclass/?referralCode=FDFA8618A6FC722432D8
🤖 CHATGPT - https://www.udemy.com/course/trend-spotter/?referralCode=A527704077A08D2888AD 

FREE RESOURCES
🔔 Subscribe to this YouTube channel - https://www.youtube.com/channel/UCRoBccwWx8lC4D6qO3U8DkQ?sub_confirmation=1
💌 Subscribe to my mailing list – https://studentsuccess.coach/#link-popup
👥 Join our Facebook group – https://www.facebook.com/groups/1067523283704724
🌍 My websites – https://studentsuccess.coach/ & https://peteralkema.com/ 

COURSES FOR STUDENTS
✍🏼 Academic Writing – https://www.udemy.com/course/academic-writing-success01/?referralCode=9B3984B44BC84DA0AEDF
✅ Referencing With EndNote – https://www.udemy.com/course/academic-referencing/?referralCode=F446CBB5D9393B52F368
📘 Getting Your Research Published – https://www.udemy.com/course/get-published/?referralCode=E6E389948B932B4E8F8E
🙌🏼 Finish Your Proposal – https://www.udemy.com/course/finish-your-research-proposal/?referralCode=BFCC4456BE8DF070821D
⭐️ Finish Your Thesis – https://www.udemy.com/course/pass-your-thesis/?referralCode=CD0334A328D52C519B0F

COURSES FOR ENTREPRENEURS
📣 Podcasting – https://www.udemy.com/course/launch-a-podcast/?referralCode=29E7D57ADC3822A9B378
📱 Kindle – https://www.udemy.com/course/publish-amazon-kindle-ebook/?referralCode=1644842658A66ED329E2
🎥 Webinars – https://www.udemy.com/course/get-started-with-webinars/?referralCode=DC9A288CE8A422AB193A
📇 Blogging – https://www.udemy.com/course/learn-blogging/?referralCode=EE790A28564ADD522045 

COURSES FOR CAREER GROWTH
📄 CVs – https://www.udemy.com/course/cv-masterclass/?referralCode=535177FAD317114EA9A8 
👔 Interviews – https://www.udemy.com/course/interview-like-a-boss/?referralCode=D59751D19B1D3E2C7F98 
💰 Job Prospects – https://www.udemy.com/course/accelerate-your-career-today/?referralCode=C50E0A74D17175CDF7DF 
🎤 Presentations – https://www.udemy.com/course/powerful-powerpoint/?referralCode=E30FBCA22FB9212B4477
🗣 Communication – https://www.udemy.com/course/high-impact-communication-skills/?referralCode=C79B490C8F99289A090A 
⏰ Beat Procrastination – https://www.udemy.com/course/beat-procrastination-today/?referralCode=8DF7DA20D0C71854ABF4
🕺🏼 Leadership – https://www.udemy.com/course/leadership-skills-workplace/?referralCode=D0BC5C1D90411B9C807B 

COURSES FOR BUSINESS
📀 Digital Disruption – https://www.udemy.com/course/digital-masterclass/?referralCode=D9B3AACB17CD0CC973B3
💳 Procurement – https://www.udemy.com/course/procurement-masterclass/?referralCode=F5D3AFA11E9C9EAEB185
📖 Learning Culture – https://www.udemy.com/course/learning-culture/?referralCode=2BAB1E06ED83397B18AE
💻 Online Workshops – https://www.udemy.com/course/online-workshop-facilitation/?referralCode=1EEF1978B645C4C2F7C3
🎮 Hackathons – https://www.udemy.com/course/high-performing-teams/?referralCode=C69962CE284EB7B71B80",The Student Success Coach,2023-08-20T10:00:25Z,2023-09-06T11:45:19Z
182,Practical Advice for Working with Large Language Models - Ned Letcher,FYyDw_s-Zmo,51,43:12,"Practical Advice for Working with Large Language Models - Ned Letcher

From the July 2023 Melbourne Machine Learning and AI Meetup: https://www.meetup.com/machine-learning-ai-meetup/events/293542342/

Talk Description: In this talk, I’ll dig into the practical side of pathways for starting your innovation journey into leveraging large language models (LLMs). Some of the core questions we’ll cover: choosing between self-hosting and managed services over APIs, different strategies for aligning LLMs to your domain and their associated dependencies: prompt-engineering vs supervised fine-tuning vs task fine-tuning through reinforcement learning through human feedback; all being subjected to the question of which pathways are enterprise-ready?

Speaker Bio: Ned Letcher is a lead data science engineer at Thoughtworks, where he helps organisations design and build data-powered products and applications, and uplift data and AI strategy. He has a fondness for Python, NLP, and data-viz, which has seen him speaking at and sometimes organising a range of meetups, trainings, and conferences. According to Midjourney's /describe command, he rocks a woodland goth and poetcore aesthetic. 

Link to slides: https://drive.google.com/file/d/1-znstD9UDnMLjH4slEYNSMSGVE0YMySK/view?usp=sharing",Machine Learning and AI Meetup,2023-08-20T09:54:58Z,2023-09-06T11:45:19Z
183,Generative AI Weekly Research Highlights | Aug 14 -Aug 20,NMZEuAgCZ6I,134,2:55,"1) A Survey on Model Compression for Large Language Models [https://arxiv.org/pdf/2308.07633.pdf]
2) Large Language Models for Information Retrieval: A Survey [https://arxiv.org/pdf/2308.07107.pdf]
3) EcomGPT: Instruction-tuning Large Language Model with Chain-of-Task Tasks for E-commerce [https://arxiv.org/pdf/2308.06966.pdf]
4) Large Language Models for Telecom: Forthcoming Impact on the Industry [https://arxiv.org/pdf/2308.06013.pdf]
5) Time Travel in LLMs: Tracing Data Contamination in Large Language Models [https://arxiv.org/pdf/2308.08493.pdf]
6) Through the Lens of Core Competency: Survey on Evaluation of Large Language Models [https://arxiv.org/pdf/2308.07902.pdf]
7) SOLVING CHALLENGING MATH WORD PROBLEMS USING GPT-4 CODE INTERPRETER WITH CODE-BASED SELF-VERIFICATION [https://arxiv.org/pdf/2308.07921.pdf]
8) Robustness Over Time: Understanding Adversarial Examples’ Effectiveness on Longitudinal Versions of Large Language Models [https://arxiv.org/pdf/2308.07847.pdf]

#generativeai,#promptengineering,#largelanguagemodels,#openai,#chatgpt,#gpt4,#ai,#abcp,#prompt,#responsibleai,#promptengineer,#chatgptprompt,#anybodycanprompt,#artificialintelligence,", ABCP | Anybody Can Prompt,2023-08-20T04:52:07Z,2023-09-06T11:45:19Z
184,Large Language Model #generativeai #naturallanguageprocessing #deeplearning #artificialintelligence,T637PkLSr3I,74,10:,"A large language model (LLM) is a type of machine learning model that can perform a variety of natural language processing (NLP) tasks such as generating and classifying text, answering questions in a conversational manner, and translating text from one language to another. The label “large” refers to the number of values (parameters) the language model can change autonomously as it learns. Some of the most successful LLMs have hundreds of billions of parameters.

LLMs are trained with immense amounts of data and use self-supervised learning to predict the next token in a sentence, given the surrounding context. The process is repeated over and over until the model reaches an acceptable level of accuracy.

#artificialintelligence #deeplearning #generativeai #datascience #data  #naturallanguageprocessing #largelanguagemodels #datascience",Rethink The Future,2023-08-19T12:16:37Z,2023-09-06T11:45:19Z
185,Large Language Model Overview,RbSCfBRbftA,39,1:,"#openaiapi #openai #AI #chatgpt #openaiapirisks #codersarts  The Truth About OpenAI API: What You're Not Being Told

Watch full video : https://youtu.be/kmTm9uBKn0Y
AI Projects: https://www.ai.codersarts.com/projects

Need More Help in Machine Learning?
===================================
✅Machine Learning Assignment Help : https://www.codersarts.com/machine-learning-assignment-help
✅Deep Learning Assignment Help: https://www.codersarts.com/deep-learning-assignment-help
✅NLP Assignment Help: https://www.codersarts.com/nlp-assignment-help
✅Data Visualization Assignment Help: https://www.codersarts.com/data-visualization-assignment-help 
✅Computer Vision Assignment Help: https://www.codersarts.com/computer-vision-assignment-help
✅Face Recognition Assignment Help: https://www.codersarts.com/face-recognition-project-help
✅R Programming Assignment Help : https://www.codersarts.com/r-programming-assignment-help



📲Follow us on our Social Media Handles : 
=================================
➡️ https://www.ai.codersarts.com/large-language-model
🔗 Main Website: https://www.codersarts.com/
📚 Codersarts Training: https://www.training.codersarts.com/
🤖 Codersarts AI: https://www.ai.codersarts.com/
📷 Instagram: https://www.instagram.com/codersarts/?hl=en
📘 Facebook: https://www.facebook.com/codersarts2017
💼 LinkedIn: https://in.linkedin.com/company/codersarts

Join this channel to get access to perks:
https://www.youtube.com/channel/UC1nrlkYcj3hI8XnQgz8aK_g/join",CodersArts,2023-08-19T09:30:08Z,2023-09-06T11:45:19Z
